VARIÁVEL;QUESTIONÁRIO DO ALUNO
9;9 anos ou menos
10;10 anos
11;11 anos
12;12 anos
13;13 anos
14;14 anos
15;15 anos
16;16 anos
17;17 anos
18;18 anos ou mais
99;Não informado
VB08011;Você usou preservativo na primeira relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB08003A;Na sua vida, com quantas pessoas você teve relações sexuais (transou)?
-1;Pulo no questionário
1;1 pessoa 
2;2 pessoas 
3;3 pessoas 
4;4 pessoas 
5;5 pessoas 
6;6 ou mais pessoas 
99;Não informado
VB08005;Na última vez que você teve relação sexual (transou), você ou seu(sua) parceiro(a) usou algum método para evitar a gravidez e/ou Doenças Sexualmente Transmissíveis (DST)
-1;Pulo no questionário
1;Sim
2;Não
3;Não sei
99;Não informado
VB08006;Na última vez que você teve relação sexual (transou), você ou seu(sua) parceiro(a) usou camisinha (preservativo)?
-1;Pulo no questionário
1;Sim
2;Não
3;Não sei
99;Não informado
VB08007;Na última vez que você teve relação sexual (transou), você ou seu(sua) parceiro(a) usou algum outro método para evitar a gravidez (não contar camisinha)?T)
-1;Pulo no questionário
1;Sim
2;Não
3;Não sei
99;Não informado
VB08012;Nesta última vez que você teve relação sexual (transou), qual outro método para evitar gravidez você ou sua parceira usou?
-1;Pulo no questionário
1;Pílula anticoncepcional 
2;Injetável mensal
3;Injetável trimestral
4;Diafragma
5;DIU
6;Outro
99;Não informado
VB08013;Alguma vez na vida você engravidou?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB08008;Na escola, você já recebeu orientação sobre prevenção de gravidez?
-1;Pulo no questionário
1;Sim
2;Não
3;Não sei
99;Não informado
VB08009;Na escola, você já recebeu orientação sobre AIDS ou outras Doenças Sexualmente Transmissíveis (DST)?
-1;Pulo no questionário
1;Sim
2;Não
3;Não sei
99;Não informado
VB08010;Na escola, você já recebeu orientação sobre como conseguir camisinha (preservativo) gratuitamente? 
-1;Pulo no questionário
1;Sim
2;Não
3;Não sei
99;Não informado
VB10004;NOS ÚLTIMOS 30 DIAS, com que frequência você lavou as mãos antes de comer?
1;Nunca
2;Raramente
3;Às vezes
4;Na maioria das vezes
5;Sempre
99;Não informado
VB10005;NOS ÚLTIMOS 30 DIAS, com que frequência você lavou as mãos após usar o banheiro ou o vaso sanitário?
1;Nunca
2;Raramente
3;Às vezes
4;Na maioria das vezes
5;Sempre
99;Não informado
VB10006;NOS ÚLTIMOS 30 DIAS, com que frequência você usou sabão ou sabonete quando lavou suas mãos?
1;Nunca
2;Raramente
3;Às vezes
4;Na maioria das vezes
5;Sempre
99;Não informado
VB10001A;NOS ÚLTIMOS 30 DIAS, quantas vezes por dia você usualmente escovou os dentes?
1;Não escovei meus dentes nos últimos 30 dias
2;Não escovei meus dentes diariamente
3;1 vez por dia nos últimos 30 dias
4;2 vezes por dia nos últimos 30 dias
5;3 vezes por dia nos últimos 30 dias
6;4 ou mais vezes por dia nos últimos 30 dias
99;Não informado
VB10002;NOS ÚLTIMOS 6 MESES, você teve dor de dente? (excluir dor de dente causada por uso de aparelho)
1;Sim 
2;Não 
3;Não sei / não me lembro
99;Não informado
VB10003;NOS ÚLTIMOS 12 MESES, quantas vezes você foi ao dentista?
1;Nenhuma vez nos últimos 12 meses (0 vez)
2;1 vez nos últimos 12 meses
3;2 vezes nos últimos 12 meses
4;3 ou mais vezes nos últimos 12 meses
99;Não informado
VB09001;NOS ÚLTIMOS 30 DIAS, em quantos dias você deixou de ir à escola porque não se sentia seguro no caminho de casa para a escola ou da escola para casa?
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 dia nos últimos 30 dias
3;2 dias nos últimos 30 dias
4;3 dias nos últimos 30 dias
5;4 dias nos últimos 30 dias
6;5 dias ou mais nos últimos 30 dias
99;Não informado
VB09002;NOS ÚLTIMOS 30 DIAS, em quantos dias você não foi à escola porque não se sentia seguro na escola?
1;Nenhum dia nos últimos 30 dias (0 dia)
2;1 dia nos últimos 30 dias
3;2 dias nos últimos 30 dias
4;3 dias nos últimos 30 dias
5;4 dias nos últimos 30 dias
6;5 dias ou mais nos últimos 30 dias
99;Não informado
VB09006A1;NOS ÚLTIMOS 30 DIAS, com que frequência você usou cinto de segurança enquanto andava como passageiro(a) no BANCO DA FRENTE de carro/automóvel, van ou táxi?
1;Não andei nesse tipo de veículo no banco da frente nos últimos 30 dias
2;Nunca uso cinto de segurança
3;Raramente
4;Às vezes
5;Na maior parte do tempo
6;Sempre
99;Não informado
VB09006A2;NOS ÚLTIMOS 30 DIAS, com que frequência você usou cinto de segurança enquanto andava como passageiro(a) no BANCO DE TRÁS de carro/automóvel, van ou táxi?
1;Não andei nesse tipo de veículo no banco de trás nos últimos 30 dias
2;Nunca uso cinto de segurança
3;Raramente
4;Às vezes
5;Na maior parte do tempo
6;Sempre
99;Não informado
VB09007A;NOS ÚLTIMOS 30 DIAS, com que frequência você usou capacete ao andar de motocicleta?
1;Não andei de motocicleta nos últimos 30 dias.
2;Nunca uso capacete
3;Raramente
4;Às vezes
5;Na maior parte do tempo
6;Sempre
99;Não informado
VB09008;NOS ÚLTIMOS 30 DIAS, quantas vezes você dirigiu um veículo motorizado de transporte (carro, motocicleta, voadeira, barco)?
1;Nenhuma vez nos últimos 30 dias (0 vez)
2;1 vez nos últimos 30 dias
3;2 ou 3 vezes nos últimos 30 dias
4;4 ou 5 vezes nos últimos 30 dias
5;6 ou mais vezes nos últimos 30 dias
99;Não informado
VB09009;NOS ÚLTIMOS 30 DIAS, quantas vezes você andou em carro ou outro veículo motorizado dirigido por alguém que tinha consumido alguma bebida alcoólica?
1;Nenhuma vez nos últimos 30 dias (0 vez)
2;1 vez nos últimos 30 dias
3;2 ou 3 vezes nos últimos 30 dias
4;4 ou 5 vezes nos últimos 30 dias
5;6 ou mais vezes nos últimos 30 dias
99;Não informado
VB09003;NOS ÚLTIMOS 30 DIAS, quantas vezes você foi agredido(a) fisicamente por um adulto da sua família?
1;Nenhuma vez nos últimos 30 dias (0 vez)
2;1 vez nos últimos 30 dias
3;2 ou 3 vezes nos últimos 30 dias
4;4 ou 5 vezes nos últimos 30 dias
5;6 ou 7 vezes nos últimos 30 dias
6;8 ou 9 vezes nos últimos 30 dias
7;10 ou 11 vezes nos últimos 30 dias
8;12 vezes ou mais nos últimos 30 dias
99;Não informado
VB09004;NOS ÚLTIMOS 30 DIAS, você esteve envolvido(a) em alguma briga em que alguma pessoa usou arma de fogo, como revólver ou espingarda?
1;Sim
2;Não
99;Não informado
VB09005;NOS ÚLTIMOS 30 DIAS, você esteve envolvido(a) em alguma briga em que alguma pessoa usou alguma outra arma como faca, canivete, peixeira, pedra, pedaço de pau ou garrafa?
1;Sim
2;Não
99;Não informado
VB09010;NOS ÚLTIMOS 12 MESES, quantas vezes você foi agredido(a) fisicamente?
1;Nenhuma vez nos últimos 12 meses (0 vez)
2;1 vez nos últimos 12 meses
3;2 a 3 vezes nos últimos 12 meses
4;4 a 5 vezes nos últimos 12 meses
5;6 a 7 vezes nos últimos 12 meses
6;8 a 9 vezes nos últimos 12 meses
7;10 a 11 vezes nos últimos 12 meses
8;12 ou mais nos últimos 12 meses
99;Não informado
VB09011;NOS ÚLTIMOS 12 MESES, quantas vezes você se envolveu em briga (uma luta física)?
1;Nenhuma vez nos últimos 12 meses (0 vez)
2;1 vez nos últimos 12 meses
3;2 a 3 vezes nos últimos 12 meses
4;4 a 5 vezes nos últimos 12 meses
5;6 a 7 vezes nos últimos 12 meses
6;8 a 9 vezes nos últimos 12 meses
7;10 a 11 vezes nos últimos 12 meses
8;12 ou mais nos últimos 12 meses
99;Não informado
VB09012;NOS ÚLTIMOS 12 MESES, quantas vezes você foi seriamente ferido(a)?
1;Nenhuma vez nos últimos 12 meses (0 vez)
2;1 vez nos últimos 12 meses
3;2 ou 3 vezes nos últimos 12 meses
4;4 ou 5 vezes nos últimos 12 meses
5;6 ou 7 vezes nos últimos 12 meses
6;8 ou 9 vezes nos últimos 12 meses
7;10 ou 11 vezes nos últimos 12 meses
8;12 ou mais vezes nos últimos 12 meses
99;Não informado
VB09013A;NOS ÚLTIMOS 12 MESES, qual foi o ferimento ou a lesão mais séria que aconteceu com você?
1;Não tive ferimento/lesão séria nos últimos 12 meses
2;Tive um osso quebrado ou junta deslocada
3;Tive um corte ou perfuração
4;Tive um traumatismo ou outra lesão na cabeça ou pescoço e desmaiei ou não consegui respirar
5;Tive um ferimento a bala (arma de fogo)
6;Tive uma queimadura grave
7;Fui envenenado ou tive overdose (consumi drogas em excesso)
8;Tive outra lesão ou machucado
99;Não informado
VB09014A;NOS ÚLTIMOS 12 MESES, qual foi a principal causa do ferimento ou da lesão mais séria que aconteceu com você?
-1;Pulo no questionário
1;Foi um acidente ou atropelamento causado por veículo motorizado
2;Foi algo que caiu sobre mim ou me atingiu
3;Foi um ataque que sofri ou briga com alguém (com ou sem uso de arma)
4;Foi um incêndio ou a proximidade com algo quente
5;Foi a inalação ou algo que engoli e me fez mal
6;Foi praticando alguma atividade física/exercício/esporte
7;Foi um acidente que sofri quando estava trabalhando
8;Foi um acidente enquanto andava de bicicleta
9;Foi uma queda
10;Foi outra causa
99;Não informado
VB09015;NOS ÚLTIMOS 12 MESES, você sofreu algum acidente de bicicleta (caiu e se machucou)?
1;Não andei de bicicleta nos últimos 12 meses.
2;Andei de bicicleta e não sofri acidente
3;Andei de bicicleta e sofri acidente
99;Não informado
VB09016;Alguma vez na vida você foi forçado a ter relação sexual? 
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB0901701;Um(a) namorado(a)/ex-namorado(a) forçou você a ter relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB0901702;Um(a) amigo(a) forçou você a ter relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB0901703;Seu pai/mãe/padastro/madrasta forçou você a ter relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB0901704;Outros familiares forçaram você a ter relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB0901705;Um(a) desconhecido(a) forçou você a ter relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB0901706;Outras pessoas forçaram você a ter relação sexual?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB13005;Como você classificaria seu estado de saúde?
1;Muito bom
2;Bom
3;Regular
4;Ruim
5;Muito ruim
99;Não informado
VB13006;NOS ÚLTIMOS 12 MESES, quantos dias você faltou a escola por motivo(s) relacionado(s) à sua saúde?
1;Não faltei a escola nos últimos 12 meses por motivos de saúde
2;1 a 3 dias nos últimos 12 meses
3;4 a 7 dias nos últimos 12 meses
4;8 a 15 dias nos últimos 12 meses
5;16 dias ou mais nos últimos 12 meses
99;Não informado
VB13001;NOS ÚLTIMOS 12 MESES você procurou algum serviço ou profissional de saúde para atendimento relacionado à própria saúde? 
1;Sim
2;Não
99;Não informado
VB13002A;NOS ÚLTIMOS 12 MESES, qual foi o serviço de saúde que você procurou com MAIS FREQUÊNCIA?
-1;Pulo no questionário
1;Unidade Básica de Saúde (Centro ou Posto de saúde ou Unidade de Saúde da Família/PSF)
2;Consultório médico particular ou clínica particular
3;Consultório odontológico
4;Consultório de outro profissional de saúde (fonoaudiólogo, psicólogo, etc.)
5;Serviço de especialidades médicas ou Policlínica
6;Pronto-socorro, emergência ou UPA
7;Hospital
8;Laboratório ou clínica para exames complementares
9;Serviço de atendimento domiciliar
10;Farmácia
11;Outro
99;Não informado
VB13004A;Você foi atendido NA ÚLTIMA VEZ que procurou alguma Unidade Básica de Saúde (Centro ou Posto de saúde ou Unidade de Saúde da Família/PSF), NESTES ÚLTIMOS 12 MESES?
1;Sim
2;Não
3;Não procurei uma Unidade Básica de Saúde
99;Não informado
VB13007;Qual foi o PRINCIPAL MOTIVO da sua procura na Unidade Básica de Saúde (Centro ou Posto de saúde ou Unidade de Saúde da Família/PSF) NESTA ÚLTIMA VEZ?
-1;Pulo no questionário
1;Apoio para controle de peso (ganhar ou perder)
2;Apoio para parar de fumar
3;Acidente ou lesão
4;Reabilitação ou terapia
5;Doença
6;Problema odontológico
7;Vacinação
8;Consulta para métodos contraceptivos (preservativos, pílula, DIU etc)
9;Buscar contracepção de emergência (pílula do dia seguinte)
10;Teste para HIV, Sífilis ou Hepatite B
11;Pré-natal / Teste para gravidez
12;Solicitação de atestado médico
13;Outro
99;Não informado
VB13008;Você conhece/ouviu falar sobre a campanha de vacinação contra o vírus HPV?
1;Sim
2;Não
99;Não informado
VB13009;Você foi vacinada contra o vírus HPV?
-1;Pulo no questionário
1;Sim
2;Não
99;Não informado
VB14001;NOS ÚLTIMOS 12 MESES, você teve chiado (ou piado) no peito? 
1;Sim
2;Não
99;Não informado
VB14002;Você teve asma alguma vez na vida?
1;Sim
2;Não
99;Não informado
VB11006;Você considera sua imagem corporal como sendo algo:
1;Muito importante
2;Importante
3;Pouco importante
4;Sem importância
99;Não informado
VB11007;Como você se sente em relação ao seu corpo?
1;Muito satisfeito(a)
2;Satisfeito(a)
3;Indiferente
4;Insatisfeito(a)
5;Muito insatisfeito(a)
99;Não informado
VB11001;Quanto ao seu corpo, você se considera: 
1;Muito magro(a) 
2;Magro(a)
3;Normal
4;Gordo(a)
5;Muito Gordo(a)
99;Não informado
VB11002;O que você está fazendo em relação a seu peso?
1;Não estou fazendo nada
2;Estou tentando perder peso
3;Estou tentando ganhar peso 
4;Estou tentando manter o mesmo peso
99;Não informado
VB11003;NOS ÚLTIMOS 30 DIAS, você vomitou ou tomou laxantes para perder peso ou evitar ganhar peso? 
1;Sim
2;Não
99;Não informado
VB11004A;NOS ÚLTIMOS 30 DIAS, você tomou algum remédio, fórmula ou outro produto para perder peso, sem acompanhamento médico?
1;Sim
2;Não
99;Não informado
VB11005;NOS ÚLTIMOS 30 DIAS, você tomou algum remédio, fórmula ou outro produto para ganhar peso ou massa muscular sem acompanhamento médico? 
1;Sim
2;Não
99;Não informado
VB16001A01;Você achou este questionário fácil?
1;Sim
2;Não
99;Não informado
VB16001A02;Você achou este questionário difícil?
1;Sim
2;Não
99;Não informado
VB16001A03;Você achou este questionário chato?
1;Sim
2;Não
99;Não informado
VB16001A04;Você achou este questionário legal?
1;Sim
2;Não
99;Não informado
VB16001A05;Você achou este questionário interessante?
1;Sim
2;Não
99;Não informado
VB16001A06;Você achou este questionário informativo?
1;Sim
2;Não
99;Não informado
VB16001A07;Você achou este questionário cansativo?
1;Sim
2;Não
99;Não informado
VB16001A08;Você achou este questionário constrangedor?
1;Sim
2;Não
99;Não informado
VB17001;Qual é o peso do(a) aluno(a)?
0 a 2999;Peso
998;Não informado
9999;Recusa ou impossibilidade de medição
VB17002;Qual é a altura do(a) aluno(a)?
0 a 2999;Peso
998;Não informado
9999;Recusa ou impossibilidade de medição
VB17003;Peso do estudante, incluindo os imputados, com uma casa decimal 
VB17004;Altura do estudante, incluindo os imputados, com uma casa decimal
VB17005;Variável identificadora se houve imputação no peso e/ou altura do estudante
1;Sim
2;Não
VB17006;Variável identificadora do estado nutricional do estudante, onde: déficit de peso=1
1;Deficit de peso
2;Eutrofia
3;Sobrepeso
4;Obesidade
ESTRATOGEOREG;Indicador de estrato georeg
ESTRATO_EXP;Expressão do estrato
PESO;Peso do aluno de acordo com a amostra, utilizado para expansão
V0006;Situação da escola
1;Urbana
2;Rural
V0007;Dependência Administrativa da escola
1;Pública
2;Privada
V0008;Esfera Administrativa da escola
1;Municipal
2;Estadual
3;Federal
4;Privada
V0041;Tipo de escola privada
-1;Pulo no questionário
1;Particular
2;Comunitária
3;Confessional
4;Filantrópica
aluno;contador de aluno
escola;UPA (unidade primária de amostragem)
turma;USA (unidade secundária de amostragem)
